track,key_shift_semitones,detected_raw,detected_shifted
#1 - Filmic,-1,F,E
#2 - Tears from the Moon (aname Mix),0,A,A
#3 - Break the Silence,0,A#,A#
#4 - Love You Got,0,F,F
#5 - Parasite,0,F,F
#6 - Lately (Adam Ten & Mita Gami Remix),-1,C#,C
#7 - Come Alive,-1,C#,C
#8 - Subterranean,0,G#,G#
#9 - Thalassophobia (Dark Mix),0,C#,C#
#10 - Illusion,0,E,E
#11 - Brainwasher,0,D,D
#12 - Warrior,0,C#,C#
#13 - Walk the Plank,0,F,F
#14 - Power Drive,0,D,D
#15 - Water,0,A,A
#16 - Hold That Sucker Down (HEL:SLOWED Remix),0,B,B
#17 - Flame,0,A,A
#18 - Ashes,0,A,A
#19 - At Night,0,E,E
#20 - Yes Man,0,E,E
#21 - FILTHY ACID,0,C#,C#
#22 - Access (John Askew Remix),0,C#,C#
#23 - Out of the Sky (Chris Schweizer Remix),-1,G#,G
#24 - Apex (John Askew Remix),0,B,B
#25 - Opulence,0,F#,F#
