track_number,title,artist,filename,genre,maest_similarity,chroma_similarity,deam_similarity,compatibility_logit,probability
8,Subterranean,"Miss Monique, AVIRA",subterranean.mp3,melodic techno,0.9718315601348877,0.8857849836349487,0.9965437054634094,0.9509600400924683,0.09536214917898178
11,Brainwasher,Nox Vahn,brainwasher.mp3,techno,0.9695586562156677,0.9081143140792847,0.95972740650177,0.9491590857505798,0.09323934465646744
17,Flame,ARTBAT,flame.mp3,melodic techno,0.970177412033081,0.9357750415802002,0.8480733633041382,0.9354358911514282,0.07854171097278595
21,FILTHY ACID,Paul Van Dyk,filthyacid.mp3,techno,0.9688125848770142,0.8951916098594666,0.8866174817085266,0.9302873015403748,0.0736461952328682
16,Hold That Sucker Down (HEL:SLOWED Remix),Jerome Isma-Ae,holdthatsuckerdown.mp3,melodic techno,0.9598396420478821,0.9432394504547119,0.8368858098983765,0.9302688241004944,0.07362919300794601
4,Love You Got,Kelly Lee Owens,loveyougot.mp3,progressive house,0.9602636098861694,0.8075876832008362,0.9463997483253479,0.9116880893707275,0.058368850499391556
15,Water,"Bicep, Clara La San",water.mp3,melodic techno,0.9598482847213745,0.9610086679458618,0.6766529083251953,0.903557300567627,0.05272804573178291
3,Break the Silence,"aname, Bri Zoli",breakthesilence.mp3,progressive house,0.960098385810852,0.825728178024292,0.8725733757019043,0.9022823572158813,0.05189438909292221
7,Come Alive,"Grum, Sarah Appel",comealive.mp3,progressive house,0.970230758190155,0.9307265877723694,0.686661422252655,0.9016656875610352,0.051495905965566635
5,Parasite,"ANUQRAM, Eleanora",parasite.mp3,progressive house,0.9633711576461792,0.8680738806724548,0.7723975777626038,0.8965872526168823,0.048328522592782974
20,Yes Man,Ferry Corsten,yesman.mp3,trance,0.9539997577667236,0.9677618741989136,0.6209844350814819,0.8915253281593323,0.045365314930677414
19,At Night,"Maur, Dave Spoon",atnight.mp3,tech house,0.9652760028839111,0.9821027517318726,0.5547202825546265,0.8882128596305847,0.04352528229355812
2,Tears from the Moon (aname Mix),"Conjure One, Sinead O'Connor",tearsfromthemoon.mp3,progressive house,0.9622587561607361,0.9696285724639893,0.5454205274581909,0.8811020851135254,0.0398235060274601
9,Thalassophobia (Dark Mix),J Ribbon,thalassophobia.mp3,melodic techno,0.9705262184143066,0.8275821208953857,0.723517656326294,0.8782413005828857,0.03842458501458168
14,Power Drive,Pryda,powerdrive.mp3,melodic techno,0.965438723564148,0.8465182781219482,0.59207683801651,0.8550902009010315,0.028769297525286674
6,Lately (Adam Ten & Mita Gami Remix),RUFUS DU SOL,lately.mp3,progressive house,0.973298192024231,0.8608887791633606,0.5090912580490112,0.8467339873313904,0.025915885344147682
13,Walk the Plank,Lane 8,walktheplank.mp3,progressive house,0.9618785381317139,0.9186331033706665,0.3665640652179718,0.8298420310020447,0.020982874557375908
23,Out of the Sky (Chris Schweizer Remix),"Audrey Gallagher, John O'Callaghan",outofthesky.mp3,tech trance,0.9522746801376343,0.861943781375885,0.36564546823501587,0.8078495860099792,0.015939511358737946
25,Opulence,Simon Patterson,opulence.mp3,psytrance,0.955524206161499,0.8848850727081299,0.28359848260879517,0.7999473214149475,0.014440298080444336
22,Access (John Askew Remix),"DJ Misjah, DJ Tim",access.mp3,tech trance,0.9532458186149597,0.873883843421936,0.21273507177829742,0.7813350558280945,0.011442899703979492
18,Ashes,Camden Cox,ashes.mp3,melodic techno,0.9395800828933716,0.9327564239501953,0.15459460020065308,0.780535876750946,0.011329157277941704
24,Apex (John Askew Remix),Simon Patterson,apex.mp3,psytrance,0.9536155462265015,0.9399802088737488,0.10247528553009033,0.779296875,0.01115504838526249
12,Warrior,Marsh,warrior.mp3,progressive house,0.9709753394126892,0.9170612096786499,0.09107326716184616,0.7788206934928894,0.011088848114013672
1,Filmic,Above & Beyond,filmic.mp3,chillout,0.9361226558685303,0.7988908290863037,0.00029234495013952255,0.707787036895752,0.004563177470117807
